,005930.KS,AAPL,AMD,DELL,HPQ,INTC,NVDA,QCOM,NVDA_LAGGED,AMD_LAGGED,INTC_LAGGED,QCOM_LAGGED
005930.KS,1.0,0.07147916756216519,0.0628324509834238,0.12250608824465978,0.14530474857742096,0.07738241984529474,0.08288644969080124,0.09987199961554508,0.2382846104334426,0.23660015164353818,0.2656171228189181,0.2801257752605139
AAPL,0.07147916756216519,1.0,0.561666584976104,0.40675061589908235,0.46544703929077863,0.4919037078515292,0.6063884100349698,0.6195725859198815,-0.04610572343822807,-0.06062932721553403,-0.0921286206977393,-0.05482259130635796
AMD,0.0628324509834238,0.561666584976104,1.0,0.4269813067907301,0.4158769884403586,0.486573250018786,0.7469402044979943,0.6345132367955071,-0.07948515983764154,-0.06771456784783342,-0.09458153129470485,-0.11261990834379086
DELL,0.12250608824465978,0.40675061589908235,0.4269813067907301,1.0,0.5834392721637106,0.42470763852331533,0.4767096767079978,0.4697810161542617,-0.0063657148278565764,-0.0037915733033324277,-0.01604345366799335,-0.0674910917894781
HPQ,0.14530474857742096,0.46544703929077863,0.4158769884403586,0.5834392721637106,1.0,0.44805298671802785,0.4304194757557206,0.4891851500326768,-0.014641089858196095,-0.005457014951336216,-0.049325183510538474,-0.0898621409936854
INTC,0.07738241984529474,0.4919037078515292,0.486573250018786,0.42470763852331533,0.44805298671802785,1.0,0.4833412586479193,0.5777426579612893,-0.09778283315812764,-0.08643531850299736,-0.0802421847780085,-0.12351218347162078
NVDA,0.08288644969080124,0.6063884100349698,0.7469402044979943,0.4767096767079978,0.4304194757557206,0.4833412586479193,1.0,0.6620943137524353,-0.09282947717180577,-0.05672081838814729,-0.09191771856737349,-0.13465132451272935
QCOM,0.09987199961554508,0.6195725859198815,0.6345132367955071,0.4697810161542617,0.4891851500326768,0.5777426579612893,0.6620943137524353,1.0,-0.10210477357754959,-0.06123562817185076,-0.13993296605500974,-0.1535499646221973
NVDA_LAGGED,0.2382846104334426,-0.04610572343822807,-0.07948515983764154,-0.0063657148278565764,-0.014641089858196095,-0.09778283315812764,-0.09282947717180577,-0.10210477357754959,1.0,0.7470957197265932,0.4834908351376606,0.6622246238881588
AMD_LAGGED,0.23660015164353818,-0.06062932721553403,-0.06771456784783342,-0.0037915733033324277,-0.005457014951336216,-0.08643531850299736,-0.05672081838814729,-0.06123562817185076,0.7470957197265932,1.0,0.486333412943389,0.6343744083370308
INTC_LAGGED,0.2656171228189181,-0.0921286206977393,-0.09458153129470485,-0.01604345366799335,-0.049325183510538474,-0.0802421847780085,-0.09191771856737349,-0.13993296605500974,0.4834908351376606,0.486333412943389,1.0,0.5775550698739162
QCOM_LAGGED,0.2801257752605139,-0.05482259130635796,-0.11261990834379086,-0.0674910917894781,-0.0898621409936854,-0.12351218347162078,-0.13465132451272935,-0.1535499646221973,0.6622246238881588,0.6343744083370308,0.5775550698739162,1.0
